zid,function_zid,label,analysis_category,has_while,has_for_range,has_recursion,has_int_arithmetic,loc,c_status,c_quality,c_approximations,c_has_precond,its_status,its_quality,its_approximations,its_has_precond,its_modulo_abstracted,aprove_c_result,aprove_c_verdict_corrected,aprove_c_failure_reason,muval_c_result,muval_c_verdict_corrected,muval_c_failure_reason,verymax_result,verymax_verdict_corrected,verymax_failure_reason,koat_result,koat_verdict_corrected,koat_failure_reason,t2_result,t2_verdict_corrected,t2_failure_reason
Z29436,Z29413,"count occurrences, python",INT_LOOP_COMPLEX,0,0,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z34319,Z34293,"All booleans equal to, python for-loop",INT_LOOP_COMPLEX,0,0,0,0,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z14872,Z14871,"Motzkin number, python",INT_LOOP_TRANSLATABLE,0,1,0,1,7,failed,rejected,0,1,failed,rejected,0,1,0,,,,,,,,,,,,,,,
Z14880,Z14876,"Schröder number, python",INT_LOOP_TRANSLATABLE,0,1,0,1,7,failed,rejected,0,1,failed,rejected,0,1,0,,,,,,,,,,,,,,,
Z15090,Z15085,"Padovan's spiral number, python (based on binomial coefficients)",INT_LOOP_TRANSLATABLE,0,1,0,1,10,failed,rejected,0,1,failed,rejected,0,1,0,,,,,,,,,,,,,,,
Z15091,Z15075,Padovan number (based on binomial coefficients),INT_LOOP_TRANSLATABLE,0,1,0,1,11,failed,rejected,0,1,failed,rejected,0,1,0,,,,,,,,,,,,,,,
Z27381,Z27376,Gray code to natural number (Python),INT_LOOP_TRANSLATABLE,1,0,0,1,6,failed,rejected,0,0,failed,rejected,0,0,0,,,,,,,timeout,,,,,,tool-error,,
Z12428,Z12427,is prime (Python),INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,17,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,terminating,terminating,
Z13642,Z13612,"GCD, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,7,ok,exact,0,1,ok,exact,1,1,1,terminating,terminating,,terminating,terminating,,tool-error,tool-error,sort,tool-error,tool-error,parser,tool-error,tool-error,parse
Z13668,Z13667,"factorial, python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,
Z13733,Z13732,"smallest prime divisor, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,8,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13736,Z13735,"largest prime divisor, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13748,Z13745,"n / largest prime dividing n, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13762,Z13760,"number of divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13765,Z13764,number of prime divisors (python),INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,12,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13768,Z13767,"number of unique prime divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13771,Z13770,"sum of divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13774,Z13773,"sum of prime divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,12,ok,exact,0,0,ok,exact,0,0,0,genuine-unknown,genuine-unknown,,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13777,Z13776,"sum of unique prime divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,genuine-unknown,genuine-unknown,,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13844,Z13843,"Sylvester's sequence nth term, python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,
Z13850,Z13848,"binomial coefficient, python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,1,ok,exact,0,1,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,tool-error,tool-error,parser,terminating,terminating,
Z13855,Z13854,"k-permutation, python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,
Z13858,Z13857,"Catalan number, python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,1,ok,exact,0,1,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,tool-error,tool-error,parser,terminating,terminating,
Z13956,Z13955,"Euler totient function, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,oom,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13958,Z13957,"Dedekind psi function, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13983,Z13982,"odd part, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,5,ok,exact,0,1,ok,exact,0,1,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13985,Z13984,"sum of odd divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,genuine-unknown,genuine-unknown,,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13990,Z13989,"central binomial coefficient, python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,1,ok,exact,0,1,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,tool-error,tool-error,parser,terminating,terminating,
Z13994,Z13993,"sum of proper divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z13996,Z13995,"double factorial, Python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,
Z13998,Z13997,"double factorial of 2n-1, python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,5,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,
Z14000,Z13999,"sum of squares of divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14002,Z14001,"number of odd divisors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,genuine-unknown,genuine-unknown,,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14008,Z14007,"binomial(n, floor(n/2)), python",INT_LOOP_TRANSLATABLE_CFG,0,1,0,1,6,ok,exact,0,1,ok,exact,0,1,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,tool-error,tool-error,parser,terminating,terminating,
Z14065,Z14058,"total stopping time (Collatz), python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14069,Z14066,"stopping time, Collatz",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,12,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14090,Z12427,is prime python (O(sqrt(n)) method),INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,17,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14350,Z14344,"number of digits, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,7,ok,exact,0,1,ok,exact,0,1,0,genuine-unknown,genuine-unknown,,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14951,Z14946,"is k-almost prime, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,13,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14962,Z14961,"is factorial, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,11,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,non-terminating,non-terminating,,tool-error,tool-error,sort,tool-error,tool-error,parser,tool-error,tool-error,parse
Z14988,Z14933,"is perfect number, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14989,Z14971,"is deficient number, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z14990,Z14976,"is abundant number, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z15021,Z15018,"is k-perfect number, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,10,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z15742,Z15741,"is power of k, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,5,ok,exact,0,1,ok,exact,0,1,0,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z15756,Z15470,one plus sum of terms (9i) for all i less than n,INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,7,ok,exact,0,0,ok,exact,0,0,0,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,,terminating,terminating,
Z23483,Z13773,"Bug correction, py",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,12,ok,exact,0,0,ok,exact,0,0,0,genuine-unknown,genuine-unknown,,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z25892,Z12427,is prime python (optimized O(sqrt(n)) method),INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,25,ok,exact,0,0,ok,exact,0,0,0,tool-error,tool-error,empty,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z26991,Z26988,"N has number of specified factors, python",INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,6,ok,exact,0,1,ok,exact,0,1,0,genuine-unknown,genuine-unknown,,tool-error,tool-error,no-output,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z29182,Z13701,Z29182,INT_LOOP_TRANSLATABLE_CFG,1,0,0,1,4,ok,exact,0,1,ok,exact,1,1,1,tool-error,tool-error,empty,terminating,terminating,,timeout,timeout,,tool-error,tool-error,parser,genuine-unknown,genuine-unknown,
Z10030,Z10029,Turkish syllable counter Python,NON_INTEGER_LOOP,0,0,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10588,Z10587,Bangla grapheme split in Python,NON_INTEGER_LOOP,1,0,0,1,33,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10628,Z10627,ROT13 in Python,NON_INTEGER_LOOP,0,0,0,1,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10788,Z10765,is ISSN (py),NON_INTEGER_LOOP,0,0,0,1,17,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10850,Z10846,ROT1 in Python,NON_INTEGER_LOOP,0,0,0,1,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10855,Z10851,ROT25 in Python,NON_INTEGER_LOOP,0,0,0,1,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10895,Z10894,"Hebrew convert to Maqaf, python",NON_INTEGER_LOOP,0,0,0,0,17,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10896,Z10119,Sandbox-Implementation 5,NON_INTEGER_LOOP,0,0,0,0,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z10922,Z10919,pipe and unquoted-comma replacement (Python),NON_INTEGER_LOOP,0,0,0,1,22,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11026,Z11022,integer to roman Python,NON_INTEGER_LOOP,0,0,0,1,26,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11027,Z11023,"Roman numeral to arabic numeral, python",NON_INTEGER_LOOP,0,1,0,1,19,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11078,Z11077,"Sadhu → Cholito: convert classical to standard Bengali, Python",NON_INTEGER_LOOP,0,1,0,1,51,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11196,Z11193,"remove interpunction, Python",NON_INTEGER_LOOP,0,0,0,0,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11504,Z11501,"general positional mark replacement, python",NON_INTEGER_LOOP,0,0,0,1,23,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11578,Z11577,"is tautogram, python",NON_INTEGER_LOOP,0,0,0,0,9,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11679,Z11678,"has correctly paired brackets, python",NON_INTEGER_LOOP,0,0,0,0,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z11706,Z11705,ISBN-10 (python),NON_INTEGER_LOOP,0,0,0,1,25,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12218,Z12217,"Bilibili avid to bvid, python",NON_INTEGER_LOOP,0,1,0,1,10,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12220,Z12219,"Bilibili bvid to avid, python",NON_INTEGER_LOOP,0,1,0,1,11,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12267,Z10973,"is anagram (letter counting, Python)",NON_INTEGER_LOOP,0,0,0,1,8,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12597,Z11416, discard from end of last substring (python),NON_INTEGER_LOOP,1,0,0,1,11,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12598,Z11422,discard until start of last substring (python),NON_INTEGER_LOOP,1,0,0,1,11,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12623,Z11684,"balanced brackets, python",NON_INTEGER_LOOP,0,0,0,0,93,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12625,Z12624,"replicate string n-times, python",NON_INTEGER_LOOP,0,1,0,1,5,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12628,Z12627,Python Dutch plural,NON_INTEGER_LOOP,0,0,0,1,92,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12679,Z12678,"python implementation of ""is Bangla word""",NON_INTEGER_LOOP,0,1,0,1,10,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12814,Z12812,Caesar cipher in Python,NON_INTEGER_LOOP,0,0,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12820,Z12818,"Sundanese script to Latin, python",NON_INTEGER_LOOP,0,0,0,1,105,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12863,Z12696,"contains, python",NON_INTEGER_LOOP,0,0,0,1,56,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12871,Z12846,"is superset, python",NON_INTEGER_LOOP,0,0,0,0,8,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12887,Z12884,"is Sundanese script valid, Python language",NON_INTEGER_LOOP,0,0,0,1,37,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12893,Z12892,Is contains Bengali character (python),NON_INTEGER_LOOP,0,0,0,0,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12906,Z12905,"Decimal to ASCII, python",NON_INTEGER_LOOP,0,1,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12909,Z12908,Esperanto verb stem Python implementation,NON_INTEGER_LOOP,0,0,0,0,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12915,Z12753,"Right fold, python",NON_INTEGER_LOOP,1,0,0,0,5,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12916,Z12781,"Left fold, python",NON_INTEGER_LOOP,1,0,0,0,7,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12920,Z12919,"is Bangla vowel or consonant, python",NON_INTEGER_LOOP,0,0,0,1,29,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12922,Z12522,"division, python",NON_INTEGER_LOOP,1,0,0,1,7,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12948,Z11193,"remove all but alphanumerics, and spaces, python",NON_INTEGER_LOOP,0,0,0,1,6,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12951,Z12794,"csv to list of strings, python",NON_INTEGER_LOOP,0,1,0,1,14,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12972,Z12971,Ones complement binary addition (python),NON_INTEGER_LOOP,0,1,0,1,19,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12976,Z12975,Ones complement binary subtraction (python),NON_INTEGER_LOOP,0,1,0,1,16,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12983,Z12982,Binary to decimal (python),NON_INTEGER_LOOP,0,0,0,1,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z12991,Z11342,"check for DNA nucleic notation, python",NON_INTEGER_LOOP,0,0,0,0,5,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13039,Z10476,is ipv4 (python),NON_INTEGER_LOOP,0,0,0,0,13,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13061,Z13060,Infix to postfix (python),NON_INTEGER_LOOP,1,0,0,0,32,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13152,Z13151,Bangla conjunct vowel separation (python),NON_INTEGER_LOOP,1,0,0,1,25,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13157,Z13156,Bangla matra type (python),NON_INTEGER_LOOP,0,0,0,0,36,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13196,Z13195,Bangla consonant type by articulation point (python),NON_INTEGER_LOOP,0,0,0,1,75,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13239,Z13238,Bangla consonant type by pronunciation (python),NON_INTEGER_LOOP,0,0,0,1,67,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13271,Z13270,Bangla vowels type (python),NON_INTEGER_LOOP,0,0,0,1,29,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13299,Z13247,"faro out-shuffle, python",NON_INTEGER_LOOP,0,1,0,1,17,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13301,Z13300,"gregorian to nengō, python",NON_INTEGER_LOOP,0,0,0,1,58,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13441,Z13440,"is lower camelcase, python",NON_INTEGER_LOOP,0,1,0,1,9,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13474,Z13473,"format large numbers by adding commas, python",NON_INTEGER_LOOP,0,1,0,1,13,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13509,Z13489,Python checking decimal representation,NON_INTEGER_LOOP,0,0,0,0,11,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13727,Z13726,"divisors, python",NON_INTEGER_LOOP,1,0,0,1,11,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
Z13729,Z13728,prime divisors python,NON_INTEGER_LOOP,1,0,0,1,12,skipped,not_attempted,0,0,skipped,not_attempted,0,0,0,,,,,,,,,,,,,,,
